Entry Time,Entry,Exit,Exit Time,Result
2022-06-02 05:45:00,1822.78,1823.79,2022-06-03 06:14:59.999000,0.05540986844270789
2022-06-03 22:45:00,1781.37,1799.77,2022-06-04 23:14:59.999000,1.03291287043119
2022-06-05 16:00:00,1811.42,1904.18,2022-06-06 08:29:59.999000,5.0
2022-06-07 12:15:00,1752.35,1852.42,2022-06-07 19:44:59.999000,5.0
2022-06-08 11:45:00,1811.75,1807.09,2022-06-09 12:14:59.999000,-0.2572098799503288
2022-06-10 06:30:00,1794.22,1739.03,2022-06-10 12:44:59.999000,-2.0
2022-06-12 13:45:00,1460.9,1431.67,2022-06-13 00:44:59.999000,-2.0
2022-06-13 20:00:00,1228.69,1193.59,2022-06-13 22:59:59.999000,-2.0
2022-06-14 08:00:00,1241.15,1213.1,2022-06-14 09:29:59.999000,-2.0
2022-06-14 16:30:00,1236.54,1209.5,2022-06-14 18:59:59.999000,-2.0
2022-06-15 15:15:00,1113.08,1078.52,2022-06-15 16:44:59.999000,-2.0
2022-06-17 06:30:00,1095.97,1073.48,2022-06-17 13:14:59.999000,-2.0
2022-06-17 23:30:00,1092.33,1019.84,2022-06-18 06:59:59.999000,-2.0
2022-06-19 02:00:00,962.42,941.3,2022-06-19 05:44:59.999000,-2.0
2022-06-19 10:45:00,1054.65,1032.09,2022-06-19 12:44:59.999000,-2.0
2022-06-20 10:30:00,1126.09,1097.04,2022-06-20 17:59:59.999000,-2.0
2022-06-21 01:45:00,1121.13,1184.74,2022-06-21 13:59:59.999000,5.0
2022-06-22 14:00:00,1111.92,1075.02,2022-06-22 15:59:59.999000,-2.0
2022-06-23 03:45:00,1077.19,1141.4,2022-06-23 20:14:59.999000,5.0
2022-06-23 21:15:00,1133.29,1197.31,2022-06-24 11:44:59.999000,5.0
2022-06-25 08:45:00,1226.77,1196.07,2022-06-25 12:29:59.999000,-2.0
2022-06-25 22:00:00,1248.41,1217.37,2022-06-26 15:14:59.999000,-2.0
2022-06-27 07:30:00,1233.55,1193.83,2022-06-27 13:44:59.999000,-2.0
2022-06-27 23:00:00,1202.28,1171.48,2022-06-28 01:59:59.999000,-2.0
2022-06-28 08:15:00,1209.4,1184.91,2022-06-28 15:44:59.999000,-2.0
2022-06-29 23:00:00,1109.06,1084.77,2022-06-30 01:29:59.999000,-2.0
2022-06-30 19:45:00,1015.51,1071.01,2022-06-30 23:59:59.999000,5.0
2022-07-01 00:30:00,1093.52,1054.52,2022-07-01 03:59:59.999000,-2.0
2022-07-01 17:45:00,1074.97,1052.14,2022-07-02 00:59:59.999000,-2.0
2022-07-02 14:00:00,1052.5,1049.0,2022-07-03 14:29:59.999000,-0.332541567695962
2022-07-03 20:00:00,1077.63,1050.42,2022-07-04 02:59:59.999000,-2.0
2022-07-04 12:00:00,1101.0,1159.13,2022-07-05 05:29:59.999000,5.0
2022-07-05 20:45:00,1159.83,1133.86,2022-07-05 23:29:59.999000,-2.0
2022-07-06 09:15:00,1142.99,1188.5,2022-07-07 09:44:59.999000,3.98166213177718
2022-07-07 11:15:00,1185.98,1246.07,2022-07-07 19:44:59.999000,5.0
2022-07-08 19:00:00,1228.48,1215.97,2022-07-09 19:29:59.999000,-1.0183315967699915
2022-07-11 00:15:00,1166.24,1139.13,2022-07-11 06:14:59.999000,-2.0
2022-07-11 19:00:00,1149.07,1121.71,2022-07-11 21:59:59.999000,-2.0
2022-07-12 16:30:00,1085.06,1061.57,2022-07-12 18:59:59.999000,-2.0
