Entry Time,Entry,Exit,Exit Time,Result
2022-01-04 21:00:00,3816.37,3747.6,2022-01-05 18:59:59.999000,-2.0
2022-01-10 07:00:00,3161.45,3104.5,2022-01-10 11:59:59.999000,-2.0
2022-01-11 19:00:00,3233.58,3366.63,2022-01-12 21:59:59.999000,5.0
2022-01-15 10:00:00,3330.3,3282.8,2022-01-15 12:59:59.999000,-2.0
2022-01-20 13:00:00,3136.01,3061.02,2022-01-20 22:59:59.999000,-2.0
2022-01-24 02:00:00,2457.35,2386.65,2022-01-24 07:59:59.999000,-2.0
2022-01-25 14:00:00,2427.86,2419.34,2022-01-25 15:59:59.999000,-2.0
2022-01-28 23:00:00,2515.33,2685.0,2022-01-31 16:59:59.999000,5.0
2022-02-01 01:00:00,2689.04,2654.21,2022-02-02 21:59:59.999000,-2.0
2022-02-04 11:00:00,2832.66,2773.44,2022-02-04 13:59:59.999000,-2.0
2022-02-07 06:00:00,3093.3,3076.19,2022-02-08 15:59:59.999000,-2.0
2022-02-09 17:00:00,3202.95,3125.68,2022-02-10 13:59:59.999000,-2.0
2022-02-15 02:00:00,3021.0,3183.52,2022-02-15 23:59:59.999000,5.0
2022-02-21 18:00:00,2695.42,2652.76,2022-02-21 19:59:59.999000,-2.0
2022-02-23 09:00:00,2702.6,2649.4,2022-02-23 18:59:59.999000,-2.0
2022-02-25 10:00:00,2617.17,2791.58,2022-02-25 22:59:59.999000,5.0
2022-03-01 01:00:00,2947.68,2917.31,2022-03-01 06:59:59.999000,-2.0
2022-03-08 21:00:00,2553.33,2698.56,2022-03-09 03:59:59.999000,5.0
2022-03-12 23:00:00,2587.29,2540.0,2022-03-13 12:59:59.999000,-2.0
2022-03-13 18:00:00,2578.68,2504.83,2022-03-13 22:59:59.999000,-2.0
2022-03-15 01:00:00,2587.69,2532.27,2022-03-15 07:59:59.999000,-2.0
2022-03-15 20:00:00,2659.43,2632.66,2022-03-15 21:59:59.999000,-2.0
2022-03-21 23:00:00,2908.08,3056.83,2022-03-24 06:59:59.999000,5.0
2022-03-27 01:00:00,3149.86,3291.98,2022-03-28 01:59:59.999000,5.0
2022-03-31 13:00:00,3428.44,3380.0,2022-03-31 14:59:59.999000,-2.0
2022-04-02 01:00:00,3511.32,3450.44,2022-04-02 18:59:59.999000,-2.0
2022-04-05 10:00:00,3509.22,3466.08,2022-04-05 16:59:59.999000,-2.0
2022-04-08 11:00:00,3286.1,3226.47,2022-04-08 13:59:59.999000,-2.0
2022-04-10 09:00:00,3243.13,3163.95,2022-04-11 02:59:59.999000,-2.0
2022-04-13 11:00:00,3032.47,3073.0,2022-04-17 15:59:59.999000,1.3365342443618635
2022-04-19 09:00:00,3041.34,2983.31,2022-04-21 22:59:59.999000,-2.0
2022-04-26 05:00:00,3006.37,2942.8,2022-04-26 13:59:59.999000,-2.0
2022-04-28 12:00:00,2928.27,2870.11,2022-04-28 13:59:59.999000,-2.0
2022-05-02 06:00:00,2861.27,2806.14,2022-05-02 10:59:59.999000,-2.0
2022-05-04 19:00:00,2935.0,2830.42,2022-05-05 14:59:59.999000,-2.0
2022-05-11 12:00:00,2410.22,2341.08,2022-05-11 13:59:59.999000,-2.0
2022-05-13 16:00:00,2093.62,2052.01,2022-05-13 17:59:59.999000,-2.0
2022-05-15 16:00:00,2062.57,2130.37,2022-05-15 22:59:59.999000,5.0
2022-05-17 15:00:00,2055.86,2028.71,2022-05-17 18:59:59.999000,-2.0
2022-05-20 05:00:00,2020.25,1960.99,2022-05-20 15:59:59.999000,-2.0
2022-05-22 11:00:00,2028.27,1981.0,2022-05-23 19:59:59.999000,-2.0
2022-05-28 22:00:00,1784.45,1875.29,2022-05-30 02:59:59.999000,5.0
2022-06-05 06:00:00,1797.47,1870.39,2022-06-06 05:59:59.999000,5.0
2022-06-08 15:00:00,1800.92,1771.17,2022-06-10 10:59:59.999000,-2.0
2022-06-16 11:00:00,1121.7,1097.71,2022-06-16 13:59:59.999000,-2.0
2022-06-19 22:00:00,1131.76,1075.57,2022-06-20 01:59:59.999000,-2.0
2022-06-23 21:00:00,1135.69,1195.91,2022-06-24 11:59:59.999000,5.0
2022-07-01 20:00:00,1067.9,1041.82,2022-07-02 02:59:59.999000,-2.0
2022-07-03 06:00:00,1058.63,1109.05,2022-07-04 12:59:59.999000,5.0
2022-07-14 02:00:00,1113.4,1084.61,2022-07-14 08:59:59.999000,-2.0
2022-07-22 06:00:00,1590.09,1569.36,2022-07-22 17:59:59.999000,-2.0
2022-07-24 14:00:00,1581.79,1605.36,2022-07-24 22:59:59.999000,5.0
2022-07-27 17:00:00,1484.71,1581.0,2022-07-27 18:59:59.999000,5.0
2022-08-03 10:00:00,1654.5,1622.08,2022-08-03 22:59:59.999000,-2.0
2022-08-05 14:00:00,1685.28,1773.28,2022-08-08 08:59:59.999000,5.0
2022-08-10 20:00:00,1818.24,1906.52,2022-08-11 01:59:59.999000,5.0
2022-08-22 03:00:00,1607.31,1556.62,2022-08-22 07:59:59.999000,-2.0
2022-08-23 15:00:00,1632.31,1709.01,2022-08-25 08:59:59.999000,5.0
2022-08-29 21:00:00,1546.03,1523.94,2022-08-30 14:59:59.999000,-2.0
2022-09-02 07:00:00,1588.65,1561.47,2022-09-02 19:59:59.999000,-2.0
2022-09-04 23:00:00,1566.67,1639.16,2022-09-06 01:59:59.999000,5.0
2022-09-08 08:00:00,1613.54,1696.26,2022-09-09 04:59:59.999000,5.0
2022-09-18 05:00:00,1453.3,1424.18,2022-09-18 09:59:59.999000,-2.0
2022-09-20 12:00:00,1356.25,1343.84,2022-09-20 13:59:59.999000,-2.0
2022-09-23 08:00:00,1331.82,1312.98,2022-09-23 09:59:59.999000,-2.0
2022-09-27 01:00:00,1342.82,1314.3,2022-09-27 17:59:59.999000,-2.0
2022-09-29 10:00:00,1336.99,1301.1,2022-09-29 13:59:59.999000,-2.0
2022-10-03 22:00:00,1318.04,1373.01,2022-10-06 02:59:59.999000,5.0
2022-10-10 06:00:00,1317.95,1292.22,2022-10-10 22:59:59.999000,-2.0
2022-10-12 17:00:00,1294.65,1242.95,2022-10-13 10:59:59.999000,-2.0
2022-10-14 09:00:00,1321.58,1300.22,2022-10-14 18:59:59.999000,-2.0
2022-10-16 23:00:00,1308.32,1286.37,2022-10-19 22:59:59.999000,-2.0
2022-10-22 02:00:00,1298.98,1365.51,2022-10-23 22:59:59.999000,5.0
2022-10-29 05:00:00,1581.04,1627.38,2022-10-29 17:59:59.999000,5.0
2022-11-01 19:00:00,1583.85,1548.56,2022-11-02 10:59:59.999000,-2.0
2022-11-04 10:00:00,1579.53,1660.45,2022-11-04 14:59:59.999000,5.0
2022-11-10 22:00:00,1325.44,1299.28,2022-11-10 23:59:59.999000,-2.0
2022-11-15 02:00:00,1258.33,1237.83,2022-11-16 08:59:59.999000,-2.0
2022-11-18 12:00:00,1217.23,1196.55,2022-11-20 10:59:59.999000,-2.0
2022-11-23 04:00:00,1170.81,1214.27,2022-11-26 14:59:59.999000,5.0
2022-11-29 14:00:00,1209.71,1272.91,2022-11-30 01:59:59.999000,5.0
2022-12-03 01:00:00,1291.67,1273.55,2022-12-03 09:59:59.999000,-2.0
2022-12-05 05:00:00,1300.64,1266.59,2022-12-05 15:59:59.999000,-2.0
2022-12-08 21:00:00,1278.94,1275.03,2022-12-09 13:59:59.999000,-2.0
2022-12-11 09:00:00,1274.15,1244.77,2022-12-12 02:59:59.999000,-2.0
2022-12-13 10:00:00,1278.05,1337.88,2022-12-13 13:59:59.999000,5.0
2022-12-18 19:00:00,1179.93,1162.52,2022-12-19 22:59:59.999000,-2.0
2022-12-20 07:00:00,1212.77,1186.59,2022-12-22 15:59:59.999000,-2.0
2022-12-23 12:00:00,1222.99,1214.24,2022-12-25 14:59:59.999000,-2.0
2022-12-26 17:00:00,1216.7,1197.72,2022-12-28 03:59:59.999000,-2.0
